devid,pid,time,diff,data,rawdata,validity
04,164888,16:58:36:45,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028418f4f4f4f4f4f4f4f4febe,valid
05,165213,16:58:36:49,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff0502855df4f4f4f4f4f4f4f4fe0a,valid
07,3243,16:58:36:51,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cabf4f4f4f4f4f4f4f4fe1e,valid
0a,806,16:58:36:55,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000326f4f4f4f4f4f4f4f4fe20,valid
03,164556,16:58:36:59,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282ccf4f4f4f4f4f4f4f4fe62,valid
08,3316,16:58:36:68,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf4f4f4f4f4f4f4f4f4fe34,valid
01,164777,16:58:36:79,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283a9f4f4f4f4f4f4f4f4fe31,valid
09,3320,16:58:36:90,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cf8f4f4f4f4f4f4f4f4fee8,valid
06,3193,16:58:36:93,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c79f4f4f4f4f4f4f4f4fe6b,valid
02,165039,16:58:36:96,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284aff4f4f4f4f4f4f4f4fe83,valid
04,164889,16:58:36:99,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028419f4f4f4f4f4f4f4f4febd,valid
05,165214,16:58:37:35,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff0502855ef4f4f4f4f4f4f4f4fe09,valid
07,3244,16:58:37:81,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000cacf4f4f4f4f4f4f4f4fe1d,valid
0a,807,16:58:37:11,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000327f4f4f4f4f4f4f4f4fe1f,valid
03,164557,16:58:37:14,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282cdf4f4f4f4f4f4f4f4fe61,valid
08,3317,16:58:37:25,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf5f4f4f4f4f4f4f4f4fe33,valid
01,164778,16:58:37:31,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283aaf4f4f4f4f4f4f4f4fe30,valid
09,3321,16:58:37:42,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cf9f4f4f4f4f4f4f4f4fee7,valid
02,165040,16:58:37:46,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284b0f4f4f4f4f4f4f4f4fe82,valid
04,164890,16:58:37:50,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff0402841af4f4f4f4f4f4f4f4febc,valid
06,3194,16:58:37:53,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c7af4f4f4f4f4f4f4f4fe6a,valid
05,165215,16:58:37:56,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff0502855ff4f4f4f4f4f4f4f4fe08,valid
